BusinessEntityID,LoginID,OrganizationLevel,JobTitle,BirthDate,Gender,HireDate,VacationHours,SickLeaveHours
1,adventure-works\ken0,,Chief Executive Officer,1969-01-29,M,2009-01-14,99,69
2,adventure-works\terri0,1,Vice President of Engineering,1971-08-01,F,2008-01-31,1,20
3,adventure-works\roberto0,2,Engineering Manager,1974-11-12,M,2007-11-11,2,21
4,adventure-works\rob0,3,Senior Tool Designer,1974-12-23,M,2007-12-05,48,80
5,adventure-works\gail0,3,Design Engineer,1952-09-27,F,2008-01-06,5,22
6,adventure-works\jossef0,3,Design Engineer,1959-03-11,M,2008-01-24,6,23
7,adventure-works\dylan0,3,Research and Development Manager,1987-02-24,M,2009-02-08,61,50
8,adventure-works\diane1,4,Research and Development Engineer,1986-06-05,F,2008-12-29,62,51
9,adventure-works\gigi0,4,Research and Development Engineer,1979-01-21,F,2009-01-16,63,51
10,adventure-works\michael6,4,Research and Development Manager,1984-11-30,M,2009-05-03,16,64
11,adventure-works\ovidiu0,3,Senior Tool Designer,1978-01-17,M,2010-12-05,7,23
12,adventure-works\thierry0,4,Tool Designer,1959-07-29,M,2007-12-11,9,24
13,adventure-works\janice0,4,Tool Designer,1989-05-28,F,2010-12-23,8,24
14,adventure-works\michael8,3,Senior Design Engineer,1979-06-16,M,2010-12-30,3,21
15,adventure-works\sharon0,3,Design Engineer,1961-05-02,F,2011-01-18,4,22
16,adventure-works\david0,1,Marketing Manager,1975-03-19,M,2007-12-20,40,40
17,adventure-works\kevin0,2,Marketing Assistant,1987-05-03,M,2007-01-26,42,41
18,adventure-works\john5,2,Marketing Specialist,1978-03-06,M,2011-02-07,48,44
19,adventure-works\mary2,2,Marketing Assistant,1978-01-29,F,2011-02-14,43,41
20,adventure-works\wanida0,2,Marketing Assistant,1975-03-17,F,2011-01-07,41,40
21,adventure-works\terry0,2,Marketing Specialist,1986-02-04,M,2009-03-02,44,42
22,adventure-works\sariya0,2,Marketing Specialist,1987-05-21,M,2008-12-12,45,42
23,adventure-works\mary0,2,Marketing Specialist,1962-09-13,F,2009-01-12,46,43
24,adventure-works\jill0,2,Marketing Specialist,1979-06-18,F,2009-01-18,47,43
25,adventure-works\james1,1,Vice President of Production,1983-01-07,M,2009-02-03,64,52
26,adventure-works\peter0,2,Production Control Manager,1982-11-03,M,2008-12-01,43,41
