BusinessEntityID,PersonType,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion
5607,IN,,Darryl,Y,West,,1
5608,IN,,Connor,M,Gonzales,,2
5609,IN,,Connor,,Bryant,,0
5610,IN,,Connor,G,Alexander,,2
5611,IN,,Connor,,Russell,,1
5612,IN,,Darryl,S,Chen,,0
5613,IN,,Connor,S,Griffin,,2
5614,IN,,Connor,,Diaz,,0
5615,IN,,Connor,,Hayes,,0
5616,IN,,Darryl,T,Li,,0
5617,IN,,Darryl,,Liu,,0
5618,IN,,Connor,R,Zhang,,0
5619,IN,,Connor,A,Winston,,2
5620,IN,,Connor,M,Chen,,0
5621,IN,,Darryl,K,Yang,,0
5622,IN,,Connor,,Li,,0
5623,IN,,Connor,,Yang,,0
5624,IN,,Darryl,L,Wu,,0
5625,IN,,Connor,G,Kumar,,2
5626,IN,,Connor,C,Lal,,1
5627,IN,,Connor,M,Sharma,,0
5628,IN,,Connor,C,Shan,,0
5629,IN,,Darryl,J,Lin,,1
5630,IN,,Connor,D,Jai,,1
5631,IN,,Darryl,T,Zhou,,0
5632,IN,,Luke,J,Ross,,2
5633,IN,,Darryl,,Ye,,0
5634,IN,,Darryl,,Zhao,,0
5635,IN,,Darryl,,Lu,,0
5636,IN,,Luke,,Henderson,,0
5637,IN,,Luke,A,Coleman,,0
5638,IN,,Darryl,,Xu,,1
5639,IN,,Darryl,L,Sun,,1
5640,IN,,Luke,,Jenkins,,0
5641,IN,,Luke,,Perry,,2
5642,IN,,Luke,A,Powell,,0
5643,IN,,Luke,S,Long,,2
5644,IN,,Darryl,,Gao,,2
5645,IN,,Luke,,Patterson,,1
5646,IN,,Darryl,R,Ma,,1
5647,IN,,Darryl,,Liang,,0
5648,IN,,Jessie,E,Vazquez,,0
5649,IN,,Darryl,M,Guo,,0
5650,IN,,Luke,I,Hughes,,0
5651,IN,,Jose,M,Flores,,0
5652,IN,,Jose,A,Washington,,0
5653,IN,,Darryl,R,He,,1
5654,IN,,Jose,,Butler,,0
5655,IN,,Darryl,,Zheng,,0
5656,IN,,Jose,,Simmons,,1
5657,IN,,Darryl,,Hu,,2
5658,IN,,Jose,C,Foster,,0
5659,IN,,Jose,,Gonzales,,0
5660,IN,,Jose,D,Bryant,,0
5661,IN,,Jose,J,Alexander,,0
5662,IN,,Jose,J,Russell,,0
5663,IN,,Jose,A,Griffin,,0
5664,IN,,Darryl,C,Zeng,,2
5665,IN,,Jose,R,Diaz,,0
5666,IN,,Glenn,A,Zhang,,0
5667,IN,,Glenn,R,Wang,,1
5668,IN,,Jose,M,Hayes,,0
5669,IN,,Glenn,K,Chen,,0
5670,IN,,Jose,,Zhang,,0
5671,IN,,Jessie,R,Blanco,,0
5672,IN,,Glenn,A,Li,,1
5673,IN,,Jose,,Wang,,0
5674,IN,,Glenn,,Liu,,0
5675,IN,,Jose,K,Li,,1
5676,IN,,Jose,C,Yang,,1
5677,IN,,Jose,P,Kumar,,0
5678,IN,,Glenn,,Huang,,0
5679,IN,,Jose,,Lal,,2
5680,IN,,Jose,R,Sharma,,1
5681,IN,,Glenn,R,Wu,,0
5682,IN,,Jose,,Shan,,1
5683,IN,,Jose,,Jai,,0
5684,IN,,Thomas,B,Ross,,1
5685,IN,,Thomas,,Henderson,,0
5686,IN,,Glenn,,Lin,,0
5687,IN,,Glenn,A,Zhou,,0
5688,IN,,Thomas,,Coleman,,0
5689,IN,,Thomas,R,Jenkins,,1
5690,IN,,Glenn,L,Ye,,2
5691,IN,,Thomas,R,Perry,,0
5692,IN,,Thomas,R,Powell,,0
5693,IN,,Glenn,C,Zhao,,0
5694,IN,,Thomas,E,Long,,0
5695,IN,,Thomas,,Patterson,,1
5696,IN,,Glenn,,Lu,,0
5697,IN,,Jessie,A,Serrano,,0
5698,IN,,Glenn,,Xu,,0
5699,IN,,Thomas,M,Hughes,,0
5700,IN,,Thomas,L,Flores,,1
5701,IN,,Glenn,D,Sun,,2
5702,IN,,Thomas,C,Washington,,1
5703,IN,,Glenn,,Zhu,,0
5704,IN,,Glenn,,Gao,,2
5705,IN,,Thomas,C,Butler,,1
5706,IN,,Glenn,M,Ma,,1
5707,IN,,Thomas,,Simmons,,0
5708,IN,,Thomas,,Foster,,2
5709,IN,,Thomas,,Gonzales,,2
5710,IN,,Glenn,,Liang,,2
5711,IN,,Thomas,,Bryant,,0
5712,IN,,Thomas,,Alexander,,2
5713,IN,,Glenn,J,Guo,,0
5714,IN,,Thomas,,Russell,,1
5715,IN,,Glenn,,Zheng,,0
5716,IN,,Glenn,R,Hu,,2
5717,IN,,Thomas,J,Griffin,,2
5718,IN,,Jessie,R,Ramos,,1
5719,IN,,Glenn,,Cai,,0
5720,IN,,Thomas,O,Diaz,,1
5721,IN,,Thomas,,Harrison,,0
5722,IN,,Glenn,A,Zeng,,2
5723,IN,,Thomas,H,Zhang,,0
5724,IN,,Thomas,,Wang,,1
5725,IN,,Glenn,L,She,,0
5726,IN,,Thomas,,Chen,,1
5727,IN,,Thomas,,Li,,0
5728,IN,,Thomas,A,Yang,,0
5729,IN,,Mandy,A,Chen,,1
5730,IN,,Thomas,M,Kumar,,0
5731,IN,,Mandy,L,Li,,0
5732,IN,,Thomas,E,Lal,,0
5733,IN,,Thomas,A,Sharma,,0
